Проверка                                        Результат

                                  
Регистрация                                 |   Passed
Поиск существующего товара                  |   Passed
Поиск несуществующего товара                |   Passed
Добавление в избранное                      |   Passed
Удаление из избранного                      |   Failed
Добавление в корзину                        |   Passed
Добавление в корзину несколько единиц       |   Failed
Удаление из корзины                         |   Failed
Добавление существующего адреса доставки    |   Passed
Добавление несуществующего адреса доставки  |   Passed
Оплата валидной картой                      |   Failed
Оплата невалидной картой                    |   Passed
